,level_0,index,GaiaEDR3,RA_ICRS,DE_ICRS,Plx,Pwd,PM,pmRA,pmDE,Gmag,BPmag,RPmag,TeffH,e_TeffH,loggH,e_loggH,MassH,TeffHe,e_TeffHe,loggHe,e_loggHe,MassHe,Teffmix,e_Teffmix,loggmix,e_loggmix,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,SDSS12,umag,gmag,rmag,imag,zmag,recno,spectype,l,b
712,5439,49120,658116601815875200,130.76427983212,16.12206288045,3.1857,0.999387,8.483,-8.479,0.271,18.64550018310547,18.603300094604492,18.758499145507812,15375.3,2101.79,7.895291,0.278376,0.555063,14409.32,1860.55,7.83385,0.305187,0.497489,14320.01,1817.53,7.834981,0.304563,320.804047,297.532471,345.803497,312.26651,300.976257,330.283722,J084303.43+160719.4,18.381000518798828,18.427000045776367,18.80500030517578,19.040000915527344,19.256999969482422,198395,DB,210.0912089549074,31.786589785862233
713,5452,49160,582222433752256384,130.80843561385,4.52527286303,6.5918,0.9964,58.892,-35.066,-47.315,17.835399627685547,17.887300491333008,17.813400268554688,10792.22,360.04,7.975428,0.088223,0.58827,10563.46,371.45,7.851013,0.079395,0.498088,10218.71,427.11,7.785925,0.0917,151.423584,148.953308,154.017715,151.588226,149.403946,153.765671,J084314.05+043131.6,18.18600082397461,17.760000228881836,17.93000030517578,18.115999221801758,18.350000381469727,198471,DA,222.14457169358738,26.85923745513358
714,5461,49191,661841163095377024,130.84147048305,20.72500431012,5.6257,0.997945,40.006,-37.315,-14.423,18.308500289916992,18.297199249267578,18.36750030517578,13571.65,1051.89,8.357631,0.097317,0.832523,12922.23,753.1,8.279823,0.123911,0.761053,12809.32,788.28,8.272658,0.134026,177.738068,173.489761,183.16748,179.381485,175.303589,183.65596,J084321.97+204330.1,18.49799919128418,18.173999786376953,18.430999755859375,18.690000534057617,18.979999542236328,198526,DA,205.01550698753866,33.49886666619108
715,5463,49198,595068715293596288,130.85055422814,6.47836431237,2.3907,0.999547,15.24,-14.95,-2.961,18.770299911499023,18.706499099731445,18.94529914855957,20368.66,3455.11,7.888749,0.3126,0.56405,21542.15,5128.95,8.030802,0.313154,0.618173,21543.9,5180.68,8.037053,0.313896,429.773804,397.265839,470.075684,419.739441,394.810547,471.380615,J084324.14+062842.1,18.538000106811523,18.58099937438965,18.950000762939453,19.270999908447266,19.53700065612793,198545,DA,220.22108859812437,27.80619138761035
716,5468,49211,3075067700558242176,130.86216541309,0.03867466869,10.9152,0.99396,44.345,-29.214,33.362,18.17799949645996,18.27359962463379,18.002899169921875,8865.28,317.93,8.4895,0.091539,0.910871,8635.88,297.29,8.42216,0.091565,0.850653,8271.95,275.98,8.291767,0.095991,91.416008,89.782486,93.1841507,92.0410004,90.2859344,158.159485,J084326.95+000218.6,18.60099983215332,18.240999221801758,18.257999420166016,18.30699920654297,18.427000045776367,198566,DA,226.52502211753088,24.719020098093303
717,5484,49258,716446797477471104,130.90174419445,34.20165123476,9.7845,0.975529,68.569,-56.177,-39.316,16.994400024414062,17.08530044555664,16.858400344848633,9205.41,155.66,7.65243,0.046977,0.432663,9067.41,161.79,7.610835,0.044915,0.417548,8621.19,157.38,7.453501,0.052495,102.144585,101.557289,102.827271,101.896118,101.203583,102.579445,J084336.48+341206.4,17.39900016784668,17.013999938964844,17.055999755859375,17.15999984741211,17.28700065612793,198656,DA,189.06506330254064,37.03900386395134
718,5492,49296,583027727234795392,130.93967059571,5.97509238692,3.713,0.994472,33.818,-9.081,-32.576,16.49530029296875,16.393699645996094,16.720699310302734,23699.05,729.74,7.330759,0.04385,0.400498,27688.62,998.93,7.43666,0.046641,0.423519,27740.4,1004.58,7.442886,0.047224,269.256012,265.440674,273.165131,268.419983,264.177612,272.786835,J084345.52+055830.8,16.198999404907227,16.256999969482422,16.683000564575195,16.996999740600586,17.315000534057617,198714,DA,220.77180694176317,27.652881032562675
719,5503,49318,717661482949450112,130.96174933875,36.23863569051,4.9408,0.999659,41.383,-26.554,-31.741,17.200199127197266,17.122699737548828,17.34779930114746,18058.99,782.52,7.770273,0.079382,0.498514,18383.65,995.93,7.887904,0.099337,0.533416,18328.61,1015.28,7.892029,0.099922,202.901337,199.622055,206.003174,201.617279,197.965576,206.070969,J084350.85+361419.5,16.871000289916992,17.006999969482422,17.385000228881836,17.665000915527344,17.905000686645508,198754,DB,186.55158460639382,37.42240606879845
720,5517,49372,595270136375043712,131.02003979801,7.161946067,4.2469,0.998697,26.415,-22.412,13.981,16.517799377441406,16.372400283813477,16.79759979248047,31044.11,1218.02,7.844516,0.072893,0.573693,38660.99,1452.05,7.968093,0.060756,0.652639,38613.24,1498.64,7.973728,0.06122,236.724121,233.017624,240.487213,237.219666,233.427719,240.932266,J084404.83+070942.8,15.982000350952148,16.250999450683594,16.731000900268555,17.065000534057617,17.4060001373291,198847,DA,219.61911279420738,28.26803101545122
721,5524,49431,664899901364221184,131.07185373901,21.40395891105,3.2025,0.99955,28.489,9.76,-26.764,18.608200073242188,18.600299835205078,18.776100158691406,15809.32,2184.47,7.907393,0.267464,0.56267,15830.84,2524.88,7.966548,0.341813,0.571863,15761.92,2591.52,7.971637,0.349389,317.09079,297.247498,336.047302,321.678802,300.775391,354.24234,J084417.23+212414.4,18.594999313354492,18.422000885009766,18.760000228881836,18.957000732421875,19.35700035095215,198942,DA,204.33052815589932,33.926119231734624
722,5537,49474,1042183916142369024,131.10022783341,61.55263951224,6.1244,0.998913,33.931,-15.834,-30.01,18.010900497436523,17.91950035095215,18.258499145507812,23071.65,1994.53,8.817577,0.09904,1.118062,24796.66,4728.04,8.923795,0.095505,1.156301,24800.89,4726.67,8.92842,0.095388,164.530594,161.1689,167.313461,164.637314,161.832001,167.671814,J084424.07+613309.8,17.615999221801758,17.80299949645996,18.19700050354004,18.57200050354004,18.819000244140625,199002,DC,154.62146144255186,36.97942491196991
723,5538,49478,598794376084628224,131.10205056864,10.8454951106,2.807,0.999576,32.301,-28.558,-15.092,18.558300018310547,18.484699249267578,18.726900100708008,19854.92,3710.85,7.955796,0.304582,0.598715,19473.83,4785.53,8.026149,0.354351,0.612031,19441.38,4866.41,8.031139,0.357395,360.256592,337.887177,388.726532,367.100159,346.50412,389.725616,J084424.50+105043.9,18.299999237060547,18.378000259399414,18.716999053955078,18.993999481201172,19.26799964904785,199008,DB,215.87344905220365,29.961848677027287
724,5542,49509,1014630914955316992,131.12601774579,48.05753163423,3.132,0.99968,25.336,-14.174,-21.0,18.506799697875977,18.466999053955078,18.685400009155273,16698.78,2170.43,7.86965,0.239994,0.544698,16105.68,2553.52,7.886747,0.321065,0.528478,16034.8,2634.35,7.891702,0.328513,318.043884,296.191956,338.486755,337.999847,325.129059,352.162811,J084430.26+480327.4,18.393999099731445,18.302000045776367,18.645999908447266,18.905000686645508,19.235000610351562,199051,DA,171.6052567164422,38.380095376507626
725,5548,49530,609571415399831296,131.14296485834,14.93038538366,5.3718,0.99092,26.215,-18.943,-18.122,18.786500930786133,18.914400100708008,18.67690086364746,8968.64,539.36,7.905904,0.203909,0.54326,8705.94,514.34,7.799032,0.176273,0.466028,8288.34,480.43,7.675475,0.168175,189.286255,180.912247,197.902863,183.691177,176.971085,193.576111,J084434.32+145549.5,19.256999969482422,18.80699920654297,18.82699966430664,18.915000915527344,19.07200050354004,199082,DA,211.54945517132586,31.665015162587554
726,5549,49534,664913748338906624,131.15149835308,21.64137329291,3.9743,0.99942,23.694,-12.782,-19.951,18.280000686645508,18.24329948425293,18.39389991760254,15494.51,1381.06,7.986637,0.177957,0.606097,15190.26,1400.3,8.004549,0.221515,0.592558,15088.21,1390.93,8.005566,0.222536,253.946732,242.0979,265.196014,257.124878,243.180847,267.63443,J084436.36+213829.1,18.426000595092773,18.12700080871582,18.413000106811523,18.63599967956543,18.906999588012695,199090,DA,204.08879093873617,34.07339809370987
727,5555,49564,582155569701228544,131.17975538514,4.35080052872,5.1515,0.999297,7.832,-7.784,0.859,17.79759979248047,17.755599975585938,17.930200576782227,16149.99,855.34,8.099059,0.098649,0.673693,15810.15,965.44,8.129999,0.131378,0.668961,15717.04,984.9,8.132496,0.133797,196.313049,191.240982,201.645325,195.693222,190.6875,200.361557,J084443.14+042102.8,17.885000228881836,17.625,17.950000762939453,18.354000091552734,18.572999954223633,199138,DA,222.5137809628051,27.102624146844338
728,5565,49583,658127910465684352,131.19576985948,16.23443306887,1.5349,0.995648,4.591,-3.027,-3.452,18.322900772094727,18.19969940185547,18.614999771118164,29251.87,4325.78,7.524551,0.306994,0.454554,35620.47,6378.07,7.626877,0.316476,0.495035,35642.63,6000.2,7.633263,0.312844,660.118713,599.321472,729.433838,740.466797,713.239441,765.593994,J084446.98+161404.0,17.8700008392334,18.072999954223633,18.535999298095703,18.86400032043457,19.273000717163086,199174,DA,210.15355756323427,32.2126894294478
729,5581,49632,1145899920272751488,131.23709164019,82.38566956574,2.8186,0.999647,25.097,-13.174,-21.361,18.563899993896484,18.532699584960938,18.799400329589844,22668.72,4146.19,8.119512,0.292432,0.698605,27559.08,6475.3,8.278554,0.245475,0.777235,27580.42,6506.04,8.284897,0.245657,358.837158,343.505859,377.922638,358.783539,347.092133,371.453369,J084456.98+822308.5,18.30900001525879,18.361000061035156,18.746000289916992,19.017000198364258,19.246999740600586,199260,DA,130.71065599484484,30.5314781970811
730,5583,49635,917321936874346880,131.24052111616,45.60832587404,16.4479,0.953924,193.651,-57.661,-184.868,15.893799781799316,16.001699447631836,15.71030044555664,8653.9,79.56,7.534239,0.026963,0.389651,8546.07,82.79,7.510809,0.026495,0.381123,8118.68,76.65,7.33131,0.028905,60.6834831,60.4661827,60.9385948,60.6652794,60.4009857,60.9592476,J084457.80+453632.7,16.424999237060547,15.960000038146973,15.954999923706055,16.017000198364258,16.145000457763672,199269,DA,174.73164633682225,38.44598523326586
731,5586,49649,582960274773077888,131.2562429632,5.75532569361,2.6286,0.998481,7.555,7.496,-0.943,18.6658992767334,18.671199798583984,18.76609992980957,13837.55,1926.77,7.501579,0.248559,0.401169,13927.52,1795.61,7.551324,0.270334,0.416255,13851.43,1780.17,7.552251,0.273926,392.303894,367.996094,433.961639,325.083588,316.650177,335.107758,J084501.48+054519.1,19.038000106811523,18.551000595092773,18.757999420166016,19.006999969482422,19.198999404907227,199294,DA,221.1568392434273,27.829914838571735
732,5588,49651,913154061954810496,131.25882145429,41.01053506253,4.6024,0.999789,75.393,-18.27,-73.146,17.7283992767334,17.69770050048828,17.881099700927734,15759.44,893.29,7.849068,0.103657,0.531591,15523.37,961.69,7.881754,0.120013,0.52473,15436.08,972.9,7.88479,0.122533,217.964874,213.389526,222.964981,217.437943,213.616928,222.199951,J084502.14+410038.9,17.836999893188477,17.58099937438965,17.884000778198242,18.145999908447266,18.427000045776367,199298,DA,180.58654523074895,38.21588165797847
733,5599,49710,710106601115070464,131.32209155576,32.83547613039,9.0656,0.993591,84.774,4.046,-84.677,18.701099395751953,18.91360092163086,18.37150001525879,7016.78,242.12,8.038616,0.122492,0.615061,6886.72,242.05,7.970961,0.132854,0.556772,6673.35,230.1,7.817817,0.108842,110.028488,106.535912,113.294693,110.980278,108.219681,115.643761,J084517.30+325008.8,19.440000534057617,18.893999099731445,18.68199920654297,18.660999298095703,18.711000442504883,199408,DA,190.82933558929201,37.130736933674385
734,5610,49746,910341618586847232,131.35316405898,38.03145288848,24.7919,0.992236,224.028,109.688,-195.338,15.940999984741211,16.07040023803711,15.70359992980957,8004.13,70.79,7.975224,0.024937,0.58007,7849.38,68.59,7.907547,0.026068,0.522286,7513.43,63.41,7.775872,0.020383,40.2733002,40.1883049,40.3538246,40.2735558,40.2135887,40.3776283,J084524.62+380155.9,16.483999252319336,16.03499984741211,15.982000350952148,16.018999099731445,16.113000869750977,199461,DA,184.3613727526052,37.97797213227771
735,5616,49759,710026160671981440,131.36451481584,32.23909830999,11.5416,0.97237,94.334,80.095,49.835,17.52549934387207,17.622900009155273,17.16189956665039,7612.41,242.62,7.771804,0.090361,0.467381,7502.19,236.41,7.757756,0.07275,0.466406,7177.18,216.64,7.616484,0.082992,86.2684479,85.4833221,87.0994492,86.1887207,85.4608765,87.0143967,J084527.40+321420.0,18.038000106811523,17.611000061035156,17.611000061035156,17.760000228881836,17.729999542236328,199488,DA,191.5712840119037,37.049084654610574
736,5617,49768,691151566111608448,131.37238818803,26.36132350246,3.9045,0.998851,25.64,-11.011,-23.155,18.076099395751953,18.08139991760254,18.14859962463379,12846.4,729.37,7.594647,0.102196,0.425667,12710.91,657.87,7.595264,0.118102,0.425411,12596.83,701.82,7.587162,0.128572,254.237793,247.7052,262.53476,252.052353,246.368225,258.366913,J084529.38+262141.0,18.488000869750977,17.95599937438965,18.170000076293945,18.38800048828125,18.658000946044922,199509,DA,198.66878153861205,35.671270835654006
737,5619,49770,705232393052681600,131.37485729475,29.12171477574,3.7492,0.99874,16.225,-16.073,2.216,17.719900131225586,17.698200225830078,17.819700241088867,14076.81,802.04,7.439747,0.100951,0.384311,14115.14,737.42,7.491893,0.111149,0.399546,14039.11,724.22,7.493386,0.111458,266.046661,257.950256,275.111877,254.295929,244.399307,271.225616,J084529.98+290718.1,17.760000228881836,17.572999954223633,17.878000259399414,18.10099983215332,18.34000015258789,199513,DA,195.36854005561224,36.375748279650864
738,5629,49791,913355616180451584,131.39162739951,41.94292576887,8.5295,0.992765,16.187,-4.909,-15.424,18.42340087890625,18.52790069580078,18.266399383544922,9053.88,621.91,8.353862,0.173852,0.822066,8813.73,593.3,8.277934,0.173611,0.754466,8424.28,553.5,8.132302,0.185926,117.859787,115.204208,120.799683,117.291229,114.636032,120.278236,J084533.99+415634.7,18.87700080871582,18.489999771118164,18.47100067138672,18.506999969482422,18.579999923706055,199545,DA,179.4117741896634,38.387175816843616
739,5634,49805,595200317386783232,131.40710500442,6.89615066144,8.5072,0.999313,37.864,-37.732,-3.167,16.766799926757812,16.67180061340332,16.961299896240234,21720.71,868.64,8.469726,0.05143,0.915279,23539.54,1735.93,8.608324,0.046698,0.98209,23561.13,1758.26,8.613883,0.04672,117.672913,116.666252,118.693695,118.226585,117.250381,119.385498,J084537.73+065346.2,16.511999130249023,16.565000534057617,16.944000244140625,17.2450008392334,17.517000198364258,199571,DA,220.0869608072154,28.488910968903877
740,5638,49813,689352219629097856,131.41318606909,22.95757318115,9.4791,0.999774,63.503,-14.918,-61.726,15.881699562072754,15.793399810791016,16.04509925842285,19185.69,493.26,7.915085,0.039128,0.575004,19918.23,630.12,8.057974,0.0428,0.631356,19894.46,643.05,8.063291,0.043289,105.16758,104.468536,105.900848,105.198013,104.627899,105.716324,J084539.17+225728.0,15.57699966430664,15.696000099182129,16.06800079345703,16.34600067138672,16.597999572753906,199581,DB,202.6684896594333,34.719593760856725
741,5646,49870,1029614062987700480,131.47318533647,53.93276509711,5.3111,0.999774,24.207,5.918,-23.472,17.48189926147461,17.433500289916992,17.599700927734375,15798.38,801.34,7.900894,0.088914,0.559127,15554.83,851.62,7.933841,0.117253,0.553075,15455.69,858.88,7.93562,0.118901,188.430939,184.727615,191.555038,188.00499,184.413437,192.003632,J084553.55+535558.3,17.59000015258789,17.29199981689453,17.617000579833984,17.88599967956543,18.090999603271484,199679,DA,164.1094808243719,38.280535752224225
742,5650,49874,3074973864111930368,131.47734062962,-0.53513640935,4.5774,0.999434,39.8,-39.449,5.272,17.95709991455078,17.928600311279297,18.08209991455078,15488.45,1254.57,7.980533,0.138839,0.602599,15380.25,1327.31,8.018973,0.1807,0.601291,15282.55,1331.35,8.020692,0.182746,219.211472,213.492172,225.64325,215.525909,210.395203,221.498383,J084554.60-003206.5,18.089000701904297,17.797000885009766,18.086000442504883,18.340999603271484,18.593000411987305,199688,DA,227.41295526121567,24.960684096151446
743,5665,49935,1030772703428892672,131.53219382383,54.67006277342,2.8954,0.999602,41.995,-18.424,-37.738,18.62689971923828,18.55620002746582,18.843000411987305,21978.77,3189.07,8.167552,0.241118,0.726201,24616.42,11095.87,8.300682,0.225288,0.787715,24631.84,11097.37,8.30671,0.226162,352.604584,332.738281,374.495209,372.708282,359.41922,385.536072,J084607.75+544012.7,18.406999588012695,18.413000106811523,18.759000778198242,19.09600067138672,19.29599952697754,199793,DA,163.170938856666,38.239311169246555
744,5673,49940,582948214504809600,131.5342000618,5.63821180446,5.5092,0.980622,31.712,13.288,-28.794,17.88759994506836,17.947200775146484,17.801599502563477,9906.7,352.74,7.582393,0.104342,0.411142,9798.33,379.72,7.524862,0.102258,0.391364,9363.21,404.8,7.392963,0.127773,181.110931,176.940903,184.93515,178.619568,174.772797,182.722961,J084608.19+053818.0,18.138999938964844,17.8799991607666,17.964000701904297,18.079999923706055,18.270999908447266,199798,DA,221.41993170267642,28.02011938600675
745,5681,49965,661152044182640640,131.5620356042,19.5875748104,3.0906,0.999631,11.834,-8.16,-8.57,18.25029945373535,18.16510009765625,18.407699584960938,20032.52,2785.76,7.910339,0.241941,0.574574,19978.09,3539.62,7.998345,0.271361,0.59692,19957.22,3598.68,8.003854,0.273368,331.108215,312.516388,348.288239,319.705627,308.06485,340.640259,J084614.89+193515.2,18.01300048828125,18.104999542236328,18.45199966430664,18.687000274658203,18.976999282836914,199842,DB,206.57607112387797,33.74930682054663
746,5685,49967,913763642370054528,131.56295865699,42.70911102884,6.6834,0.999377,20.473,-13.028,-15.793,17.181800842285156,17.143699645996094,17.314199447631836,15880.81,520.97,8.052142,0.059113,0.645068,15612.87,567.03,8.085825,0.077473,0.641558,15514.31,574.08,8.08766,0.078692,149.468658,147.759415,151.489044,149.993134,148.276596,151.976593,J084615.12+424233.0,17.257999420166016,17.016000747680664,17.315000534057617,17.586000442504883,17.93000030517578,199844,DA,178.4454511937585,38.562602552910995
747,5695,49995,598707239788040448,131.60285012866,10.40153736938,7.9215,0.995766,70.719,-50.177,-49.835,17.983600616455078,18.002899169921875,17.891199111938477,10419.91,432.19,8.265398,0.102522,0.766949,10260.24,451.81,8.179309,0.106664,0.692028,9874.75,493.51,8.072682,0.135252,126.277809,123.586174,128.553726,126.417488,123.743584,131.162918,J084624.71+102406.0,18.118000030517578,17.97100067138672,18.082000732421875,18.2549991607666,18.47100067138672,199898,DC,216.580500300872,30.21701752919919
748,5698,50003,595313940746149248,131.6100866623,7.64008114388,2.8973,0.99939,6.814,-4.655,-4.976,18.61669921875,18.55929946899414,18.88949966430664,23122.42,3527.55,8.214039,0.271989,0.75669,27612.14,5953.35,8.350783,0.239422,0.822971,27628.71,5973.22,8.356827,0.239352,345.116882,323.681671,376.948273,400.973083,385.731689,422.073364,J084626.42+073824.3,18.604000091552734,18.41900062561035,18.756999969482422,19.045000076293945,19.246999740600586,199911,DA,219.43541112234385,29.006268812673465
749,5704,50013,1044109229717304064,131.61667066119,63.87206306378,15.0801,0.991664,47.048,13.236,-45.148,17.074800491333008,17.216299057006836,16.856399536132812,8102.7,124.51,8.037805,0.04474,0.617649,7932.51,119.77,7.967518,0.046602,0.556904,7593.03,109.47,7.797183,0.026784,66.2520828,65.9732361,66.5737534,66.1644592,65.857048,66.5720596,J084627.97+635219.9,17.583999633789062,17.19099998474121,17.145000457763672,17.159000396728516,17.232999801635742,199923,DA,151.7254296169404,36.72288672879193
750,5709,50038,661160294816776448,131.64326320227,19.75122699089,6.7931,0.974884,51.732,-20.606,-47.451,16.940200805664062,16.986400604248047,16.84000015258789,9832.2,126.64,7.253596,0.045535,0.306485,9934.88,152.74,7.23317,0.045425,0.301389,9498.21,165.04,7.11102,0.048976,147.137039,145.235489,149.555023,147.347794,145.650223,149.008026,J084634.40+194504.9,17.41200065612793,16.93000030517578,17.020999908447266,17.12700080871582,17.30699920654297,199970,DA,206.42269481979235,33.877342644069465
751,5722,50102,914190935779553536,131.72060727453,44.44405291598,5.3076,0.996905,28.785,28.783,0.289,18.151399612426758,18.1968994140625,18.16200065612793,11605.71,642.14,7.986626,0.131178,0.596954,11528.75,659.28,7.895794,0.136076,0.524422,11258.16,749.64,7.843356,0.159657,187.836517,182.443542,193.445892,192.766541,187.951233,197.973892,J084652.90+442638.5,18.572999954223633,18.10700035095215,18.26099967956543,18.474000930786133,18.652000427246094,200085,DA,176.23239798122313,38.754332493057234
752,5727,50117,1042178525955147136,131.73222698614,61.72464035413,6.6001,0.99937,23.806,-3.801,23.501,16.85110092163086,16.822099685668945,16.941999435424805,14168.24,420.55,7.670361,0.045076,0.452846,14270.52,409.85,7.725975,0.052381,0.470313,14185.5,401.24,7.727168,0.052266,150.827667,149.299759,152.654922,151.747665,149.910889,153.340012,J084655.74+614328.5,16.996000289916992,16.700000762939453,16.989999771118164,17.2189998626709,17.472000122070312,200104,DA,154.33556860457662,37.239680543919185
753,5733,50127,690326898030489984,131.74223690512,24.21108326652,5.8865,0.999503,25.573,-16.314,-19.694,18.493799209594727,18.346900939941406,18.765899658203125,30863.06,6179.18,9.302825,0.256446,1.351669,38963.17,8616.22,9.379432,0.237774,1.397085,38924.85,9207.8,9.383062,0.253568,173.152603,166.328552,180.448303,172.312988,165.639175,178.515213,J084658.15+241240.1,17.86199951171875,18.26099967956543,18.724000930786133,19.121000289916992,19.386999130249023,200121,DC,201.31951025170048,35.385003558855075
754,5735,50128,661758738379103616,131.74251282149,20.36310474932,7.1086,0.99402,82.796,-80.915,-17.545,18.385000228881836,18.465099334716797,18.261499404907227,9645.74,497.88,8.210814,0.152909,0.729943,9430.66,507.67,8.123508,0.153021,0.655003,9011.26,507.39,7.976235,0.179283,141.641617,138.212631,146.14032,141.296021,136.186447,147.444962,J084658.26+202147.3,18.636999130249023,18.378999710083008,18.459999084472656,18.56800079345703,18.729000091552734,200123,DC,205.76634148324067,34.17259295767164
755,5744,50178,913312494708844800,131.78398849034,42.02026117585,2.7524,0.999456,17.994,-8.533,-15.842,18.36240005493164,18.33289909362793,18.55900001525879,18248.52,1747.42,7.684771,0.180116,0.460037,19205.99,2245.37,7.842976,0.196326,0.511884,19140.91,2287.26,7.84596,0.198637,361.202148,340.52005,384.888672,359.885315,346.664124,374.479492,J084708.16+420113.1,18.30699920654297,18.160999298095703,18.54400062561035,18.777999877929688,19.08799934387207,200195,DA,179.3383115789116,38.68339732528647
756,5748,50196,717395023177246592,131.80159130538,35.72002791365,6.0011,0.994896,28.629,-0.071,-28.629,18.720600128173828,18.78730010986328,18.679100036621094,10804.22,623.94,8.407246,0.15338,0.860301,10478.62,637.33,8.299448,0.160901,0.77097,10131.46,721.4,8.212431,0.20136,166.030594,160.261368,173.118698,176.263397,168.459518,184.996826,J084712.37+354312.4,18.87700080871582,18.69499969482422,18.80500030517578,18.94499969482422,19.097999572753906,200221,DC,187.32932469001418,38.016009202443364
757,5751,50197,661556939339551616,131.80209037985,20.0785581202,6.8095,0.984109,23.929,12.967,-20.111,18.419700622558594,18.55419921875,18.23889923095703,8722.05,525.2,7.938994,0.196669,0.561241,8550.07,529.62,7.862596,0.179821,0.499171,8151.88,486.0,7.729804,0.167722,146.386658,141.435211,151.183365,144.735382,141.558014,151.28949,J084712.49+200442.9,18.915000915527344,18.46299934387207,18.500999450683594,18.559999465942383,18.683000564575195,200223,DA,206.11281404432603,34.12923780204296
758,5753,50210,1015028491488955776,131.81740452101,48.70567391554,4.4412,0.999374,25.595,-24.645,6.907,18.07110023498535,18.031299591064453,18.19890022277832,15652.11,1075.84,8.02365,0.129563,0.627831,14980.54,1043.9,8.007402,0.16189,0.59386,14878.87,1027.64,8.008158,0.161765,225.016739,219.575119,231.320694,227.823807,219.911758,235.463379,J084716.21+484220.2,17.884000778198242,17.888999938964844,18.19700050354004,18.430999755859375,18.708999633789062,200246,DB,170.76418486267832,38.826100753837686
759,5775,50282,912298985505940608,131.88498593786,40.01657057167,3.8855,0.987446,7.327,-6.631,-3.115,18.495100021362305,18.563800811767578,18.477800369262695,10854.38,561.17,7.643184,0.1393,0.434743,10870.82,627.54,7.598729,0.148814,0.420059,10559.96,678.14,7.532137,0.179614,258.930847,245.971634,273.013641,253.375839,242.396698,263.75,J084732.40+400059.6,18.785999298095703,18.454999923706055,18.50200080871582,18.618999481201172,18.816999435424805,200364,DA,181.90354217206246,38.60265104847411
760,5792,50343,1013314902617375104,131.94504165604,45.16835913815,3.9771,0.997565,21.767,-11.213,-18.657,18.389699935913086,18.401500701904297,18.440900802612305,12836.44,1196.42,7.815406,0.151077,0.506353,12753.92,1000.4,7.778044,0.169967,0.465834,12636.95,1063.51,7.767723,0.18553,253.227554,243.724228,262.218719,244.674622,237.342804,257.391327,J084746.82+451006.3,18.72800064086914,18.297000885009766,18.503000259399414,18.698999404907227,18.913000106811523,200475,DA,175.3079141442472,38.93183805805103
761,5796,50355,660222170879118208,131.95492679839,18.50423025438,13.7795,0.994572,150.746,-41.966,-144.787,17.04599952697754,17.110700607299805,16.901500701904297,9450.64,215.03,8.235611,0.05666,0.745512,9240.2,214.14,8.155604,0.055819,0.675102,8821.0,208.53,8.004122,0.064523,72.3419495,71.9557037,72.7018661,72.3535538,71.9827042,72.8000488,J084749.21+183016.8,17.323999404907227,17.07200050354004,17.131999969482422,17.20800018310547,17.378000259399414,200494,DC,207.9526869082026,33.71859949940652
762,5809,50414,597054467652894208,132.01037934054,8.36223724921,2.9077,0.999685,11.138,-10.192,-4.492,18.52359962463379,18.493600845336914,18.716100692749023,18037.73,2370.88,7.857191,0.24233,0.541635,18647.88,3213.19,7.994345,0.290824,0.592373,18575.16,3268.28,7.99707,0.293241,350.261292,330.213165,377.799194,363.597473,343.214661,379.287872,J084802.50+082144.1,18.44499969482422,18.340999603271484,18.677000045776367,18.974000930786133,19.356000900268555,200587,DA,218.89951322964282,29.6848191046855
763,5830,50554,704818770522192256,132.13055088253,27.4597665587,2.599,0.999297,44.549,-8.405,-43.749,18.49799919128418,18.439699172973633,18.79560089111328,25075.57,3167.26,8.097047,0.26212,0.690202,30624.91,4825.97,8.252541,0.238007,0.796829,30684.1,4918.23,8.259415,0.238053,384.538086,359.026062,419.304962,364.521515,353.67981,376.293762,J084831.33+272735.6,18.304000854492188,18.291000366210938,18.69499969482422,18.94700050354004,19.20800018310547,200832,DA,197.57596211745366,36.61192350985304
764,5835,50571,3075924872951556224,132.15029201884,1.8729237466,5.6133,0.999796,71.603,-70.822,-10.545,17.246999740600586,17.20599937438965,17.392900466918945,16024.25,653.67,7.848811,0.072143,0.532135,15936.25,752.73,7.904162,0.099322,0.53752,15850.31,769.5,7.907564,0.101205,177.835175,175.901245,180.458984,178.448044,176.077133,181.085388,J084836.14+015222.6,17.211000442504883,17.070999145507812,17.413000106811523,17.707000732421875,18.0,200865,DA,225.47157601806006,26.74948078841294
765,5842,50578,706642727169967872,132.15427551023,31.34379576049,6.5911,0.996525,52.238,33.395,-40.17,18.25160026550293,18.240699768066406,18.286100387573242,12980.78,893.21,8.497333,0.094819,0.921982,12325.13,676.15,8.389203,0.114045,0.832689,12167.1,748.97,8.371635,0.131394,152.139908,148.151917,156.252014,151.337189,148.061813,156.657394,J084836.99+312038.1,18.198999404907227,18.158000946044922,18.371000289916992,18.562999725341797,18.690000534057617,200877,DC,192.84404858004316,37.525299183559234
766,5848,50613,660311742420794368,132.1905867163,19.0170316775,1.9278,0.997088,30.836,-29.979,-7.217,18.83690071105957,18.80470085144043,18.93090057373047,14837.84,2164.74,7.297949,0.333044,0.347254,15139.66,2183.16,7.398149,0.380208,0.377434,15044.75,2151.68,7.39914,0.37905,535.66864,466.225403,625.605164,454.493988,436.187439,469.005554,J084845.75+190101.4,18.601999282836914,18.628000259399414,18.952999114990234,19.29199981689453,19.58300018310547,200942,DA,207.46891740789331,34.107929584653114
